iter	Passed	Remaining
0	152	45662
1	160	23947
2	168	16692
3	175	12985
4	183	1084555	189	930866	198	831377	205	751288	212	688199	219	6369110	227	5974111	234	5618112	240	5316113	248	5068114	254	4840115	263	4671116	271	4523117	279	4372118	285	4226119	292	4099220	299	3976221	305	3860222	312	3764223	318	3667224	324	3573225	331	3490226	337	3414227	343	3340228	350	3275229	355	3203330	362	3148331	369	3095332	375	3038333	382	2991334	387	2933335	393	2885336	401	2856337	407	2806338	413	2764339	411	2672440	426	2695441	433	2660442	439	2625443	445	2593444	453	257045	458	2534
46	473	2548
47	487	2559
448	502	2573449	515	2575550	522	2550551	528	2520552	528	246353	537	2448
54	545	2429
55	551	2403
56	559	2387
57	566	2365
58	573	2342
59	580	2322
60	586	2297
61	592	2275
62	600	2257
63	606	2238
64	612	2216
65	620	2198
66	626	2178
67	633	2161
68	642	2149
69	649	2133
70	656	2117
71	663	2102
72	670	2086
73	677	2067
74	685	2055
75	692	2040
76	700	2028
77	708	2015
78	717	2006
79	725	1994
80	732	1980
81	738	1964
82	745	1949
83	751	1933
84	758	1918
85	765	1904
886	783	1917887	791	190588	786	1865
889	795	1856990	802	1843991	808	1828992	824	1834993	822	1803994	829	1789995	835	1775996	842	1763997	848	1748998	856	1738999	871	17421100	878	17311101	886	17211102	893	17091103	901	16981104	908	16861105	913	16721106	921	16621107	927	16491108	937	16431109	946	16341110	954	16251111	961	16141112	968	16031113	975	15911114	982	15801115	989	15701116	999	15621117	1006	15511118	1014	15119119	1020	15120120	1027	15121121	1034	15122122	1039	14123123	1046	14124124	1052	14125125	1058	14126126	1065	14127127	1072	14128128	1079	14129129	1085	14130130	1092	14131131	1098	13132132	1105	13133133	1112	13134134	1118	13135135	1124	13136	1116	1328
137	1123	1319
138	1130	1309
139	1135	1298
140	1142	1288
141	1148	1277
142	1159	1272
143	1165	1262
144	1171	1252
145	1178	1243
146	1186	1234
147	1193	1225
148	1200	1216
149	1207	1207
150	1216	1200
151	1226	1193
152152	1245	11153153	1253	11154	1250	1170
155	1259	1162
156156	1279	11157157	1291	11158158	1300	11159159	1309	11160160	1318	11161161	1326	11162162	1335	11163163	1344	11164164	1352	11165165	1360	10166166	1368	10167	1363	1071
168168	1385	10169	1380	1055
170	1389	1048
171	1397	1039
172172	1417	10173173	1427	10174	1425	1018
175	1432	1009
176	1439	1000
177	1447	991
178	1453	982
179	1462	974
180	1468	965
181	1476	957
182	1483	948
183	1491	939
184	1497	930
185	1505	922
186	1511	913
187	1518	904
188	1525	895
189	1531	886
190	1539	878
191	1550	871
192	1557	863
193	1564	855
194	1570	845
195195	1589	8196196	1596	8197197	1603	8198198	1611	8199199	1618	8200200	1624	8201201	1631	7202202	1638	7203203	1645	7204204	1652	7205	1647	751
206	1656	744
207	1665	736
208	1672	728
209	1679	719
210	1688	712
211	1697	704
212	1705	696
213	1712	688
214	1719	679
215	1727	671
216	1733	663
217	1739	654
218	1746	646
219	1754	638
220	1762	630
221	1769	621
222	1775	613
223	1782	604
224	1790	596
225	1797	588
226	1803	579
227	1811	571
228	1818	563
229	1827	556
230	1834	547
231	1842	540
232	1850	532
233	1857	523
234	1865	515
235	1871	507
236	1878	499
237	1885	491
238	1892	483
239	1900	475
240	1905	466
241	1911	458
242	1918	449
243	1924	441
244	1929	433
245	1935	424
246	1940	416
247	1946	408
248	1952	399
249	1959	391
250	1967	384
251	1974	376
252	1980	367
253	1985	359
254	1991	351
255	1997	343
256	2003	335
257	2008	326
258	2012	318
259	2017	310
260	2023	302
261	2027	294
262	2032	285
263	2039	278
264	2046	270
265	2052	262
266	2059	254
267	2069	247
268	2075	239
269	2085	231
270	2091	223
271	2098	216
272	2105	208
273	2114	200
274	2121	192
275	2127	184
276	2133	177
277	2141	169
278	2148	161
279	2155	153
280	2161	146
281	2166	138
282	2171	130
283	2178	122
284	2186	115
285	2195	107
286	2201	99
287	2207	91
288	2214	84
289	2221	76
290	2229	68
291	2237	61
292	2241	53
293	2247	45
294	2253	38
295	2263	30
296	2271	22
297	2279	15
298	2285	7
299	2297	0
	0
